shank,unit,x_diff,y
1,2, 0.41894,3.0379
1,3,0.38452,3.3198
1,4,0.33575,3.1487
1,5,0.39987,4.1039
1,6,0.51626,3.6732
1,7,0.45713,2.4208
1,8,0.34196,3.0555
1,9,0.80387,6.3732
1,10,0.6534,5.474
1,11,0.42086,5.7138
1,12,0.4345,7.4936
1,13,0.37228,4.6131
1,14,0.42427,6.7539
1,15,0.30415,3.8427
1,16,0.62474,2.5678
1,17,0.33619,6.2406
1,18,0.52005,3.6356
1,19,  0.36364,3.2549
2,2, 0.37448 ,3.3447
2,3,0.41359,5.3965
2,4,  0.31869 ,4.847
2,5, 0.58463,7.4915
2,6, 0.54681  ,5.2089
2,7, 0.46134   ,3.7182
2,8, 0.51236,7.5998
2,9, 0.365 ,6.135
2,10, 0.27607   ,6.6995
2,11, 0.4776  ,6.6871
2,12, 0.31375       ,3.2167
2,13,0.36176  ,3.8902
2,14,0.3359,3.7077
2,15, 0.31679   ,7.122
2,16, 0.68739  ,8.1494
2,17, 0.33807  ,4.3513
3,2, 0.74289,6.6963
3,3,0.74695  ,5.9267
3,4,0.57297,6.1574
3,5,   0.61462  ,5.9653
3,6,0.7632  ,6.3258
3,7,  0.30743  ,7.1653
3,8,  0.5998 ,7.42
3,9,0.37356,4.5518
3,10, 0.56945,  3.5275
3,11,    0.66311 ,  6.7408
3,12,0.35523       ,6.2389
3,13,0.36106   ,6.3618
3,14,   0.56494 ,7.1026
3,15, 0.53126 ,7.0124
3,16,0.37238     ,5.8225
3,17,  0.66524   ,4.9811
3,18, 0.69011   ,6.7938
4,2,  0.44931   ,6.2515
4,3, 0.40679  ,6.7804
4,4, 0.35637 ,6.3304
4,5,  0.43796  ,6.0355
4,6,  0.43287  ,7.2864
4,7,0.73845,7.4871
4,8,  0.3416   ,7.5653
4,9, 0.57575  ,4.2658
4,10,0.30248   ,6.1584
4,11,   0.45821    ,6.2614
4,13,  0.72245      ,6.6966
4,14, 0.61161   ,6.6599
4,15,   0.68478   ,  5.4636
5,2,   0.78031  ,6.0621
5,3, 0.60551 ,6.3983
5,4, 0.72397,5.4562
5,5,0.38385,6.4389
5,6,0.6384,6.0173
5,7,0.73788, 7.242
5,8,0.30547   ,6.2008
5,9,  0.40686  ,6.2946
5,10,0.66466,5.813
5,11,    0.54645   ,6.9578
5,12,  0.29065  ,5.3488
5,13, 0.20861     ,6.8908
5,14,   0.62702   ,7.477
5,15, 0.28331     ,6.9798
5,16, 0.80173  ,6.7021
5,17, 0.29839    ,5.7278
6,2, 0.34934 ,7.3471
6,3, 0.53231  ,7.3279
6,4, 0.23347 ,7.0841
6,5, 0.26893 ,6.4382
6,6, 0.432 ,8.2036
6,7, 0.37135 ,7.4585
6,8,0.1876,6.2778
6,9,0.68917,7.9116
6,10,0.45091,2.5605
6,11,  0.68316,8.8668
6,12,0.26946,5.9843
6,13, 0.28838,6.5534
6,14,  0.64845    ,6.5552
6,15,   0.2365 ,7.0158
6,16, 0.67266    ,8.0978
6,17,0.58895,5.3285
6,18,0.7059,7.5269
6,19,0.36472,6.5926
7,2, 0.71999   ,8.1177
7,3, 0.32857 ,6.0559
7,4,0.49087,4.4703
7,5,0.41143,  6.908
7,6,0.44389,7.8706
7,7,0.6587,7.6516
7,8, 0.60908,8.5026
8,2, 0.72973  ,7.7516
8,3, 0.46143 ,6.956
8,4, 0.27947 ,6.8617
8,5,  0.30589 ,8.2858
8,6, 0.30228 ,6.4936
8,7, 0.79728 ,8.5853
8,8, 0.44688   ,7.4824
8,9, 0.44379,7.9387
8,10,  0.55265 ,7.5045
8,11, 0.47877 ,7.9093
8,12, 0.75769,6.9506
8,13,0.28147  ,2.5129
9,2, 0.30873,7.4815
9,3, 0.30161 ,8.1047
9,4,0.73612,8.8945
9,5,  0.73074 ,7.8851
9,6,0.37567,6.6136
9,7, 0.65992  ,5.6423
9,8, 0.65092 ,7.3244
9,9,0.41711,5.5354
9,10, 0.45931 ,7.989
9,11,0.30258,8.2796
9,12,  0.33455  ,7.0393
9,13,0.33173,7.6498
10,2, 0.74815 ,7.9218
10,3, 0.42472,4.8971
10,4,0.4505,8.8861
10,5, 0.69421 ,8.3473
10,6,  0.33376,8.9237
10,7,  0.37383 ,7.1398
10,8,0.59175,5.4358
10,9,0.7437,9.3285
10,10, 0.65563  ,6.939
10,11, 0.66902  ,8.507
10,12, 0.32582 ,7.6486
10,13, 0.39235,6.8824
10,14, 0.56989 ,7.3713
10,15,0.68746  ,8.7122
10,16, 0.441 ,8.6496
11,2, 0.50411 ,  6.6354
11,3, 0.36448 ,5.6629
11,4,0.30602      ,4.0684
11,5,   0.51327,6.0843
11,6,  0.54484,4.2153
11,7,0.38581   ,5.7044
11,8,0.64344,5.6769
12,2, 0.57842 ,5.4166
12,3,0.34221,7.0252
12,4, 0.57175,6.5511
12,5, 0.39226  ,7.3362
12,6,0.64595,4.8792
12,7,0.54902,7.4248
12,8, 0.56543,6.0999
12,9, 0.43128  ,4.5645
12,10,0.60617,7.8053
